date,Year,Month,DayOfMonth,Orders,DeliveredOrders,CancelledOrders,ReturnedOrders,PendingOrders,ShippedOrders,Quantity_sum,TotalAmount_sum,Revenue,Discount_mean,Shipping_mean,Tax_mean,UnitPrice_mean,AOV_delivered,DeliveryRate,qty_pm_Amazon Pay,qty_pm_Cash On Delivery,qty_pm_Credit Card,qty_pm_Debit Card,qty_pm_Net Banking,qty_pm_Upi,qty_cat_Books,qty_cat_Clothing,qty_cat_Electronics,qty_cat_Home & Kitchen,qty_cat_Sports & Outdoors,qty_cat_Toys & Games,qty_brand_Apex,qty_brand_BrightLux,qty_brand_CoreTech,qty_brand_FitLife,qty_brand_KiddoFun,qty_brand_NexPro,qty_brand_Other,qty_brand_ReadMore,qty_brand_Zenith,qty_country_Australia,qty_country_Canada,qty_country_India,qty_country_United Kingdom,qty_country_United States,qty_status_Cancelled,qty_status_Delivered,qty_status_Pending,qty_status_Returned,qty_status_Shipped,DayOfWeek
2020-01-01,2020,1,1,62,52,2,1,1,6,164,55180.39,44183.82,0.08064516129032258,7.854838709677419,73.81258064516129,338.0006451612903,849.6888461538462,0.8387096774193549,28.0,15.0,64.0,25.0,18.0,14.0,40.0,21.0,18.0,28.0,32.0,25.0,12.0,7.0,29.0,25.0,9.0,11.0,28.0,10.0,33.0,9.0,5.0,34.0,1.0,115.0,5.0,138.0,3.0,3.0,15.0,Wednesday
2020-01-02,2020,1,2,46,34,1,1,1,9,132,44959.1675,32530.6975,0.07282608695652174,7.055434782608696,68.37282608695652,330.31195652173915,956.7852205882352,0.7391304347826086,27.0,11.0,33.0,19.0,10.0,32.0,15.0,20.0,11.0,18.0,14.0,54.0,39.0,5.0,3.0,17.0,9.0,15.0,29.0,7.0,8.0,4.0,18.0,17.0,4.0,89.0,4.0,98.0,2.0,2.0,26.0,Thursday
2020-01-03,2020,1,3,47,34,1,1,2,9,146,40744.16,28471.11,0.07446808510638298,6.859148936170213,53.43851063829788,300.71404255319146,837.3855882352941,0.723404255319149,11.0,6.0,53.0,31.0,18.0,27.0,25.0,40.0,7.0,35.0,27.0,12.0,7.0,24.0,15.0,13.0,30.0,18.0,25.0,7.0,7.0,5.0,9.0,18.0,12.0,102.0,4.0,106.0,4.0,2.0,30.0,Friday
2020-01-04,2020,1,4,59,39,3,5,3,9,197,58334.2175,35256.0075,0.07372881355932202,8.618474576271186,79.4664406779661,308.2013559322034,904.0001923076923,0.6610169491525424,26.0,0.0,74.0,44.0,13.0,40.0,29.0,52.0,21.0,29.0,31.0,35.0,8.0,23.0,16.0,31.0,8.0,13.0,45.0,32.0,21.0,0.0,7.0,24.0,9.0,157.0,8.0,127.0,13.0,16.0,33.0,Saturday
2020-01-05,2020,1,5,48,35,2,2,3,6,141,43311.6175,31391.677499999998,0.08020833333333334,6.7718750000000005,66.45375,300.128125,896.9050714285713,0.7291666666666666,29.0,9.0,57.0,17.0,16.0,13.0,27.0,12.0,23.0,11.0,31.0,37.0,5.0,5.0,19.0,22.0,18.0,7.0,42.0,17.0,6.0,3.0,9.0,26.0,2.0,101.0,8.0,106.0,5.0,4.0,18.0,Sunday
2020-01-06,2020,1,6,60,44,2,1,4,9,165,56620.6525,40513.002499999995,0.06583333333333334,7.7363333333333335,70.5245,337.33366666666666,920.7500568181817,0.7333333333333333,25.0,2.0,52.0,40.0,11.0,35.0,27.0,19.0,25.0,20.0,33.0,41.0,19.0,8.0,25.0,9.0,19.0,6.0,29.0,21.0,29.0,7.0,10.0,35.0,8.0,105.0,5.0,123.0,8.0,5.0,24.0,Monday
2020-01-07,2020,1,7,50,39,4,1,1,5,154,48634.3575,37058.8375,0.075,8.6368,65.6792,315.4056,950.2266025641026,0.78,20.0,23.0,44.0,29.0,13.0,25.0,40.0,31.0,27.0,13.0,23.0,20.0,17.0,2.0,18.0,15.0,29.0,11.0,26.0,18.0,18.0,8.0,6.0,27.0,4.0,109.0,16.0,119.0,5.0,4.0,10.0,Tuesday
2020-01-08,2020,1,8,49,42,0,3,1,3,153,48193.6875,42517.4875,0.08673469387755102,6.4287755102040816,79.2708163265306,313.62510204081633,1012.321130952381,0.8571428571428571,15.0,14.0,38.0,30.0,29.0,27.0,23.0,17.0,28.0,43.0,25.0,17.0,12.0,22.0,15.0,23.0,19.0,4.0,44.0,13.0,1.0,2.0,21.0,29.0,9.0,92.0,0.0,133.0,3.0,9.0,8.0,Wednesday
2020-01-09,2020,1,9,53,46,2,2,1,2,170,51196.7275,46590.5175,0.08207547169811322,7.081509433962264,67.8822641509434,303.1798113207547,1012.8373369565218,0.8679245283018868,18.0,0.0,52.0,51.0,21.0,28.0,34.0,38.0,14.0,36.0,28.0,20.0,9.0,25.0,20.0,15.0,24.0,14.0,32.0,19.0,12.0,5.0,7.0,17.0,5.0,136.0,4.0,151.0,4.0,4.0,7.0,Thursday
2020-01-10,2020,1,10,60,46,0,1,1,12,183,61984.725,43664.4075,0.06583333333333334,7.441166666666666,80.15083333333334,316.44066666666663,949.22625,0.7666666666666667,40.0,9.0,57.0,43.0,22.0,12.0,23.0,21.0,23.0,39.0,34.0,43.0,20.0,11.0,15.0,23.0,32.0,21.0,34.0,21.0,6.0,5.0,10.0,40.0,24.0,104.0,0.0,141.0,4.0,5.0,33.0,Friday
